Athlete,Gender,Date,Test,Name Label,Power,Score,Split,Time or Split
Grace Sypher,Female,19/01/2021,2000,Female_2000,259.8,10,01:50.5,07:21.8
Sophia Wightman,Female,20/01/2021,2000,Female_2000,263.1,12,01:50.0,07:19.9
Tara Rigney,Female,27/02/2021,2000,Female_2000,312,73,01:43.9,06:55.6
Patrick Holt,Male,27/02/2021,2000,Male_2000,496.1,80,01:29.0,05:56.1
Sophia Wightman,Female,10/03/2021,2000,Female_2000,278.8,19,01:47.9,07:11.5
Joshua Wilson,Male,10/03/2021,2000,Male_2000,386.2,4,01:36.8,06:27.1
Bradley Graham,Male,15/03/2021,2000,Male_2000,437.9,22,01:32.8,06:11.2
Grace Sypher,Female,15/03/2021,2000,Female_2000,267.9,14,01:49.3,07:17.3
Sophia Wightman,Female,5/04/2021,2000,Female_2000,279.6,20,01:47.8,07:11.1
Hamish Danks,Male,9/08/2021,30minR20,Male_30minR20,253.6,14,01:51.3,01:51.3
Patrick Holt,Male,9/08/2021,30minR20,Male_30minR20,325.3,61,01:42.5,01:42.5
Grace Sypher,Female,15/09/2021,5000,Female_5000,222.5,11,01:56.3,19:23.0
Isabella Scammell,Female,15/09/2021,5000,Female_5000,227,14,01:55.5,19:15.2
Miles Harrold,Male,15/09/2021,5000,Male_5000,341.6,20,01:40.8,16:48.1
Hamish Danks,Male,15/09/2021,5000,Male_5000,318.3,16,01:43.2,17:12.2
Joshua Wilson,Male,15/09/2021,5000,Male_5000,304.2,13,01:44.8,17:27.9
Patrick Holt,Male,15/09/2021,5000,Male_5000,387.1,60,01:36.7,16:07.0
Tara Rigney,Female,18/10/2021,2mmol,Female_2mmol,224,73,01:56.0,01:56.0
Tara Rigney,Female,18/10/2021,4mmol,Female_4mmol,257,62,01:50.8,01:50.8
Grace Sypher,Female,28/10/2021,2mmol,Female_2mmol,206,36,01:59.3,01:59.3
Grace Sypher,Female,28/10/2021,4mmol,Female_4mmol,237,34,01:53.9,01:53.9
Grace Sypher,Female,10/11/2021,5000,Female_5000,223.4,12,01:56.1,19:21.4
Miles Harrold,Male,10/11/2021,5000,Male_5000,357.9,24,01:39.3,16:32.6
Sophia Wightman,Female,10/11/2021,5000,Female_5000,230.4,15,01:55.0,19:09.5
Tara Rigney,Female,10/11/2021,5000,Female_5000,268.9,75,01:49.2,18:11.9
Patrick Holt,Male,10/11/2021,5000,Male_5000,401.3,77,01:35.5,15:55.4
Grace Sypher,Female,23/01/2022,5000,Female_5000,230.5,15,01:54.9,19:09.4
Liesel Page,Female,24/01/2022,2000,Female_2000,238.9,#N/A,01:53.6,07:34.3
Sarah Fahd,Female,24/01/2022,2000,Female_2000,269.7,15,01:49.1,07:16.3
Tiffany Botha,Female,24/01/2022,2000,Female_2000,275.5,18,01:48.3,07:13.2
Stefanie Preller,Female,24/01/2022,2000,Female_2000,255.7,8,01:51.0,07:24.1
Joshua Wilson,Male,24/01/2022,2000,Male_2000,370.2,#N/A,01:38.2,06:32.6
Remy McKay,Female,24/01/2022,2000,Female_2000,207.3,#N/A,01:59.1,07:56.3
Tara Rigney,Female,24/01/2022,2000,Female_2000,328.8,86,01:42.1,06:48.4
Grace Sypher,Female,3/02/2022,2000,Female_2000,262.1,11,01:50.1,07:20.5
Isabella Scammell,Female,3/02/2022,2000,Female_2000,287.7,23,01:46.8,07:07.0
Tara Rigney,Female,6/03/2022,2000,Female_2000,314.8,77,01:43.6,06:54.4
Tara Rigney,Female,6/03/2022,2000,Female_2000,314.8,77,01:43.6,06:54.4
Patrick Holt,Male,6/03/2022,2000,Male_2000,491.9,78,01:29.3,05:57.1
Sarah Fahd,Female,18/03/2022,2000,Female_2000,274.2,17,01:48.5,07:13.9
Bradley Graham,Male,21/03/2022,2000,Male_2000,455.4,31,01:31.6,06:06.4
Grace Sypher,Female,21/03/2022,2000,Female_2000,266.9,13,01:49.5,07:17.8
Isabella Scammell,Female,21/03/2022,2000,Female_2000,315.5,77,01:43.5,06:54.1
Miles Harrold,Male,21/03/2022,2000,Male_2000,434.4,21,01:33.1,06:12.2
Hamish Danks,Male,21/03/2022,2000,Male_2000,453.9,29,01:31.7,06:06.8
Sophia Wightman,Female,21/03/2022,2000,Female_2000,265.7,13,01:49.6,07:18.5
Stefanie Preller,Female,21/03/2022,2000,Female_2000,250.6,6,01:51.8,07:27.1
Olivia Nattey,Female,21/03/2022,2000,Female_2000,254.4,7,01:51.2,07:24.9
Tiffany Botha,Female,12/05/2022,2mmol,Female_2mmol,184,10,02:03.9,02:03.9
Sophia Wightman,Female,12/05/2022,2mmol,Female_2mmol,186,12,02:03.5,02:03.5
Stefanie Preller,Female,12/05/2022,2mmol,Female_2mmol,169,#N/A,02:07.5,02:07.5
Olivia Nattey,Female,12/05/2022,2mmol,Female_2mmol,191,17,02:02.4,02:02.4
Tiffany Botha,Female,12/05/2022,4mmol,Female_4mmol,211,10,01:58.4,01:58.4
Sophia Wightman,Female,12/05/2022,4mmol,Female_4mmol,212,11,01:58.2,01:58.2
Stefanie Preller,Female,12/05/2022,4mmol,Female_4mmol,189,#N/A,02:02.8,02:02.8
Olivia Nattey,Female,12/05/2022,4mmol,Female_4mmol,229,25,01:55.2,01:55.2
Bradley Graham,Male,23/08/2022,2mmol,Male_2mmol,277,23,01:48.1,01:48.1
Bradley Graham,Male,23/08/2022,4mmol,Male_4mmol,322,28,01:42.8,01:42.8
Bradley Graham,Male,29/08/2022,30minR20,Male_30minR20,301,33,01:45.2,01:45.2
Grace Sypher,Female,29/08/2022,30minR20,Female_30minR20,189.8,10,02:02.6,02:02.6
Sarah Fahd,Female,29/08/2022,30minR20,Female_30minR20,210.9,19,01:58.4,01:58.4
Tiffany Botha,Female,29/08/2022,30minR20,Female_30minR20,185.9,8,02:03.5,02:03.5
Hamish Danks,Male,29/08/2022,30minR20,Male_30minR20,298.8,30,01:45.4,01:45.4
Sophia Wightman,Female,29/08/2022,30minR20,Female_30minR20,182.1,7,02:04.3,02:04.3
Stefanie Preller,Female,29/08/2022,30minR20,Female_30minR20,187.9,9,02:03.0,02:03.0
Joshua Wilson,Male,29/08/2022,30minR20,Male_30minR20,268.6,18,01:49.2,01:49.2
Olivia Nattey,Female,29/08/2022,30minR20,Female_30minR20,194.8,12,02:01.6,02:01.6
Hamish Danks,Male,1/09/2022,2mmol,Male_2mmol,258,7,01:50.7,01:50.7
Hamish Danks,Male,1/09/2022,4mmol,Male_4mmol,291,1,01:46.3,01:46.3
Bradley Graham,Male,19/09/2022,5000,Male_5000,365.8,25,01:38.5,16:25.4
Grace Sypher,Female,19/09/2022,5000,Female_5000,231.3,16,01:54.8,19:08.1
Sarah Fahd,Female,19/09/2022,5000,Female_5000,243.1,22,01:52.9,18:49.1
Tiffany Botha,Female,19/09/2022,5000,Female_5000,206.2,2,01:59.3,19:52.9
Stefanie Preller,Female,19/09/2022,5000,Female_5000,232.6,17,01:54.6,19:05.9
Joshua Wilson,Male,19/09/2022,5000,Male_5000,314.7,15,01:43.6,17:16.1
Joshua Wilson,Male,19/09/2022,5000,Male_5000,314.7,15,01:43.6,17:16.1
Olivia Nattey,Female,19/09/2022,5000,Female_5000,233.7,17,01:54.4,19:04.1
Hamish Danks,Male,26/09/2022,5000,Male_5000,366.1,25,01:38.5,16:25.1
Bradley Graham,Male,7/11/2022,5000,Male_5000,362,24,01:38.9,16:28.8
Grace Sypher,Female,7/11/2022,5000,Female_5000,231,16,01:54.9,19:08.6
Isabella Scammell,Female,7/11/2022,5000,Female_5000,245.8,24,01:52.5,18:45.0
Liesel Page,Female,7/11/2022,2000,Female_2000,240.8,1,01:53.3,07:33.1
Liesel Page,Female,7/11/2022,5000,Female_5000,194,#N/A,02:01.7,20:17.3
Sarah Fahd,Female,7/11/2022,5000,Female_5000,238.2,20,01:53.7,18:56.9
Tiffany Botha,Female,7/11/2022,5000,Female_5000,205.7,2,01:59.4,19:53.9
Hamish Danks,Male,7/11/2022,5000,Male_5000,351.4,22,01:39.9,16:38.7
Stefanie Preller,Female,7/11/2022,5000,Female_5000,240.1,21,01:53.4,18:53.9
Olivia Nattey,Female,7/11/2022,5000,Female_5000,236.1,18,01:54.0,19:00.2
Tara Rigney,Female,7/11/2022,5000,Female_5000,270.1,77,01:49.0,18:10.2
Patrick Holt,Male,7/11/2022,5000,Male_5000,388.4,62,01:36.6,16:05.9
Liesel Page,Female,8/12/2022,2000,Female_2000,235.6,#N/A,01:54.1,07:36.4
Laura Sypher,Female,8/12/2022,2000,Female_2000,248.3,4,01:52.1,07:28.5
Bradley Graham,Male,12/12/2022,2000,Male_2000,453.5,29,01:31.7,06:06.9
Grace Sypher,Female,12/12/2022,2000,Female_2000,270.1,15,01:49.0,07:16.1
Isabella Scammell,Female,12/12/2022,2000,Female_2000,318.7,79,01:43.2,06:52.7
Sarah Fahd,Female,12/12/2022,2000,Female_2000,280.4,20,01:47.7,07:10.7
Tiffany Botha,Female,12/12/2022,2000,Female_2000,264.8,12,01:49.8,07:19.0
Hamish Danks,Male,12/12/2022,2000,Male_2000,437.6,22,01:32.8,06:11.3
Sophia Wightman,Female,12/12/2022,2000,Female_2000,274.4,17,01:48.5,07:13.8
Joshua Wilson,Male,12/12/2022,2000,Male_2000,359.1,#N/A,01:39.2,06:36.6
Olivia Nattey,Female,12/12/2022,2000,Female_2000,287.7,23,01:46.8,07:07.0
Tara Rigney,Female,12/12/2022,2000,Female_2000,322.6,82,01:42.8,06:51.0
Patrick Holt,Male,12/12/2022,2000,Male_2000,506.2,86,01:28.4,05:53.7
Bradley Graham,Male,23/01/2023,5000,Male_5000,376.7,44,01:37.6,16:15.8
Liesel Page,Female,23/01/2023,5000,Female_5000,183.4,#N/A,02:04.0,20:40.3
Miles Harrold,Male,23/01/2023,5000,Male_5000,365.5,25,01:38.6,16:25.7
Hamish Danks,Male,23/01/2023,5000,Male_5000,374.7,40,01:37.8,16:17.5
Oscar Beregi,Male,23/01/2023,5000,Male_5000,334.9,19,01:41.5,16:54.8
Sophia Wightman,Female,23/01/2023,5000,Female_5000,221.3,10,01:56.5,19:25.1
Joshua Wilson,Male,23/01/2023,5000,Male_5000,318.7,16,01:43.2,17:11.7
Remy McKay,Female,23/01/2023,5000,Female_5000,190.6,#N/A,02:02.5,20:24.6
Olivia Nattey,Female,23/01/2023,5000,Female_5000,229.2,15,01:55.2,19:11.6
Tara Rigney,Female,23/01/2023,5000,Female_5000,276.7,84,01:48.2,18:01.5
Patrick Holt,Male,23/01/2023,5000,Male_5000,384.2,56,01:36.9,16:09.4
Bradley Graham,Male,11/03/2023,2000,Male_2000,437.6,22,01:32.8,06:11.3
Grace Sypher,Female,11/03/2023,2000,Female_2000,264.9,12,01:49.7,07:18.9
Sophia Wightman,Female,11/03/2023,2000,Female_2000,268.8,14,01:49.2,07:16.8
Tara Rigney,Female,11/03/2023,2000,Female_2000,326.2,84,01:42.4,06:49.5
Patrick Holt,Male,11/03/2023,2000,Male_2000,505.4,85,01:28.5,05:53.9
Remy McKay,Female,14/03/2023,2000,Female_2000,252.3,6,01:51.5,07:26.1
Will Rogers,Male,3/04/2023,2000,Male_2000,461,35,01:31.2,06:04.9
Sophia Wightman,Female,13/04/2023,2mmol,Female_2mmol,188,14,02:03.0,02:03.0
Sophia Wightman,Female,13/04/2023,4mmol,Female_4mmol,213,11,01:58.0,01:58.0
Grace Sypher,Female,30/06/2023,2000,Female_2000,271.6,16,01:48.8,07:15.3
Sarah Fahd,Female,15/07/2023,2000,Female_2000,285.3,22,01:47.1,07:08.2
Sophia Wightman,Female,15/07/2023,2000,Female_2000,271.8,16,01:48.8,07:15.2
Stefanie Preller,Female,15/07/2023,2000,Female_2000,289.3,24,01:46.6,07:06.2
Joshua Wilson,Male,15/07/2023,2000,Male_2000,388.9,5,01:36.6,06:26.2
Grace Sypher,Female,25/07/2023,2000,Female_2000,277.8,19,01:48.0,07:12.0
Isabella Scammell,Female,28/08/2023,30minR20,Female_30minR20,208.5,18,01:58.8,01:58.8
Tiffany Botha,Female,31/08/2023,2mmol,Female_2mmol,211,44,01:58.4,01:58.4
Sophia Wightman,Female,31/08/2023,2mmol,Female_2mmol,183,9,02:04.1,02:04.1
Stefanie Preller,Female,31/08/2023,2mmol,Female_2mmol,185,11,02:03.7,02:03.7
Tiffany Botha,Female,31/08/2023,4mmol,Female_4mmol,256,61,01:51.0,01:51.0
Sophia Wightman,Female,31/08/2023,4mmol,Female_4mmol,208,7,01:58.9,01:58.9
Stefanie Preller,Female,31/08/2023,4mmol,Female_4mmol,215,13,01:57.6,01:57.6
Grace Sypher,Female,4/09/2023,30minR20,Female_30minR20,196.8,13,02:01.1,02:01.1
Olivia Nattey,Female,5/09/2023,2mmol,Female_2mmol,209,41,01:58.8,01:58.8
Olivia Nattey,Female,5/09/2023,4mmol,Female_4mmol,246,45,01:52.5,01:52.5
Oscar Beregi,Male,17/09/2023,5000,Male_5000,375.4,42,01:37.7,16:16.9
Joshua Wilson,Male,17/09/2023,5000,Male_5000,316.5,15,01:43.4,17:14.1
Alec Hoskin,Male,18/09/2023,5000,Male_5000,360.4,24,01:39.0,16:30.3
Bradley Graham,Male,18/09/2023,5000,Male_5000,347.3,21,01:40.3,16:42.6
Grace Sypher,Female,18/09/2023,5000,Female_5000,228.9,15,01:55.2,19:12.1
Isabella Scammell,Female,18/09/2023,5000,Female_5000,249.5,27,01:52.0,18:39.5
Liesel Page,Female,18/09/2023,5000,Female_5000,188.5,#N/A,02:02.9,20:29.1
Miles Harrold,Male,18/09/2023,5000,Male_5000,366.8,25,01:38.5,16:24.5
Tiffany Botha,Female,18/09/2023,5000,Female_5000,234.8,18,01:54.2,19:02.3
Hamish Danks,Male,18/09/2023,5000,Male_5000,354.4,23,01:39.6,16:35.8
Sophia Wightman,Female,18/09/2023,5000,Female_5000,221.8,11,01:56.4,19:24.2
Stefanie Preller,Female,18/09/2023,5000,Female_5000,247.1,24,01:52.3,18:43.0
Laura Sypher,Female,18/09/2023,5000,Female_5000,205.9,2,01:59.4,19:53.5
Remy McKay,Female,18/09/2023,5000,Female_5000,194.7,#N/A,02:01.6,20:16.0
Olivia Nattey,Female,18/09/2023,5000,Female_5000,239.5,20,01:53.5,18:54.8
Alec Hoskin,Male,6/11/2023,5000,Male_5000,373.5,38,01:37.9,16:18.6
Bradley Graham,Male,6/11/2023,5000,Male_5000,387.2,60,01:36.7,16:06.9
Grace Sypher,Female,6/11/2023,5000,Female_5000,234.2,17,01:54.3,19:03.3
Liesel Page,Female,6/11/2023,5000,Female_5000,190.6,#N/A,02:02.5,20:24.6
Sarah Fahd,Female,6/11/2023,5000,Female_5000,230.1,15,01:55.0,19:10.0
Tiffany Botha,Female,6/11/2023,5000,Female_5000,230.5,15,01:54.9,19:09.4
Hamish Danks,Male,6/11/2023,5000,Male_5000,378,47,01:37.5,16:14.7
Hamish Danks,Male,6/11/2023,5000,Male_5000,379.5,50,01:37.3,16:13.4
Oscar Beregi,Male,6/11/2023,5000,Male_5000,359.4,24,01:39.1,16:31.2
Sophia Wightman,Female,6/11/2023,5000,Female_5000,225.8,13,01:55.7,19:17.3
Stefanie Preller,Female,6/11/2023,5000,Female_5000,252,33,01:51.6,18:35.7
Stefanie Preller,Female,6/11/2023,5000,Female_5000,244.4,23,01:52.7,18:47.2
Joshua Wilson,Male,6/11/2023,5000,Male_5000,308.9,14,01:44.2,17:22.5
Laura Sypher,Female,6/11/2023,5000,Female_5000,219.1,9,01:56.9,19:29.0
Remy McKay,Female,6/11/2023,5000,Female_5000,199.1,#N/A,02:00.7,20:06.9
Olivia Nattey,Female,6/11/2023,5000,Female_5000,246.2,24,01:52.4,18:44.4
Olivia Nattey,Female,6/11/2023,5000,Female_5000,229.7,15,01:55.1,19:10.8
Tara Rigney,Female,7/11/2023,5000,Female_5000,281.7,89,01:47.5,17:55.0
Tara Rigney,Female,28/11/2023,2mmol,Female_2mmol,225,76,01:55.9,01:55.9
Tara Rigney,Female,28/11/2023,4mmol,Female_4mmol,254,57,01:51.3,01:51.3
Alec Hoskin,Male,5/12/2023,2mmol,Male_2mmol,308,60,01:44.4,01:44.4
Bradley Graham,Male,5/12/2023,2mmol,Male_2mmol,286,33,01:47.0,01:47.0
Grace Sypher,Female,5/12/2023,2mmol,Female_2mmol,189,15,02:02.8,02:02.8
Miles Harrold,Male,5/12/2023,2mmol,Male_2mmol,284,30,01:47.2,01:47.2
Will Rogers,Male,5/12/2023,2mmol,Male_2mmol,289,37,01:46.6,01:46.6
Laura Sypher,Female,5/12/2023,2mmol,Female_2mmol,165,#N/A,02:08.5,02:08.5
Alec Hoskin,Male,5/12/2023,4mmol,Male_4mmol,354,60,01:39.6,01:39.6
Bradley Graham,Male,5/12/2023,4mmol,Male_4mmol,342,48,01:40.8,01:40.8
Grace Sypher,Female,5/12/2023,4mmol,Female_4mmol,222,19,01:56.4,01:56.4
Miles Harrold,Male,5/12/2023,4mmol,Male_4mmol,326,32,01:42.4,01:42.4
Will Rogers,Male,5/12/2023,4mmol,Male_4mmol,347,53,01:40.3,01:40.3
Laura Sypher,Female,5/12/2023,4mmol,Female_4mmol,188,#N/A,02:03.0,02:03.0
Hamish Danks,Male,7/12/2023,2000,Male_2000,481.7,56,01:29.9,05:59.6
Jack Power,Male,8/12/2023,2000,Male_2000,423.4,17,01:33.9,06:15.4
Oscar Beregi,Male,8/12/2023,2000,Male_2000,449.5,26,01:32.0,06:08.0
Joshua Wilson,Male,8/12/2023,2000,Male_2000,381.1,3,01:37.2,06:28.8
Alec Hoskin,Male,11/12/2023,2000,Male_2000,450.9,27,01:31.9,06:07.6
Bradley Graham,Male,11/12/2023,2000,Male_2000,469.5,42,01:30.7,06:02.7
Grace Sypher,Female,11/12/2023,2000,Female_2000,272.5,16,01:48.7,07:14.8
Liesel Page,Female,11/12/2023,2000,Female_2000,223.2,#N/A,01:56.2,07:44.7
Miles Harrold,Male,11/12/2023,2000,Male_2000,443.7,24,01:32.4,06:09.6
Tiffany Botha,Female,11/12/2023,2000,Female_2000,277.5,19,01:48.1,07:12.2
Hamish Danks,Male,11/12/2023,2000,Male_2000,481.7,56,01:29.9,05:59.6
Stefanie Preller,Female,11/12/2023,2000,Female_2000,308.5,65,01:44.3,06:57.2
Laura Sypher,Female,11/12/2023,2000,Female_2000,252.7,7,01:51.5,07:25.9
Remy McKay,Female,11/12/2023,2000,Female_2000,247.3,4,01:52.3,07:29.1
Olivia Nattey,Female,11/12/2023,2000,Female_2000,303,53,01:44.9,06:59.7
Tara Rigney,Female,11/12/2023,2000,Female_2000,327.9,86,01:42.2,06:48.8
Alec Hoskin,Male,22/01/2024,5000,Male_5000,361.4,24,01:38.9,16:29.4
Alec Hoskin,Male,22/01/2024,5000,Male_5000,320.3,16,01:43.0,17:10.0
Grace Sypher,Female,22/01/2024,5000,Female_5000,232.9,17,01:54.5,19:05.4
Liesel Page,Female,22/01/2024,5000,Female_5000,184.2,#N/A,02:03.9,20:38.5
Miles Harrold,Male,22/01/2024,5000,Male_5000,378.6,48,01:37.4,16:14.2
Tiffany Botha,Female,22/01/2024,5000,Female_5000,228.3,14,01:55.3,19:13.1
Jack Power,Male,22/01/2024,5000,Male_5000,343.5,21,01:40.6,16:46.3
Oscar Beregi,Male,22/01/2024,5000,Male_5000,373.7,38,01:37.8,16:18.4
Sophia Wightman,Female,22/01/2024,30minR20,Female_30minR20,198.4,13,02:00.8,02:00.8
Joshua Wilson,Male,22/01/2024,5000,Male_5000,325.2,17,01:42.5,17:04.8
Olivia Nattey,Female,22/01/2024,5000,Female_5000,240.5,21,01:53.3,18:53.2
Tara Rigney,Female,22/01/2024,5000,Female_5000,262.2,58,01:50.1,18:21.1
Patrick Holt,Male,22/01/2024,5000,Male_5000,407.1,81,01:35.1,15:50.9
Alec Hoskin,Male,25/02/2024,2000,Male_2000,455.4,31,01:31.6,06:06.4
Grace Sypher,Female,25/02/2024,2000,Female_2000,276.3,18,01:48.2,07:12.8
Isabella Scammell,Female,25/02/2024,2000,Female_2000,335.2,91,01:41.5,06:45.8
Liesel Page,Female,25/02/2024,2000,Female_2000,236.4,#N/A,01:54.0,07:35.9
Miles Harrold,Male,25/02/2024,2000,Male_2000,453.9,29,01:31.7,06:06.8
Sarah Fahd,Female,25/02/2024,2000,Female_2000,277.1,18,01:48.1,07:12.4
Joshua Wilson,Male,25/02/2024,2000,Male_2000,371.3,#N/A,01:38.1,06:32.2
Laura Sypher,Female,25/02/2024,2000,Female_2000,252.2,6,01:51.6,07:26.2
Olivia Nattey,Female,25/02/2024,2000,Female_2000,287.5,23,01:46.8,07:07.1
Tara Rigney,Female,25/02/2024,2000,Female_2000,311.4,72,01:44.0,06:55.9
Patrick Holt,Male,25/02/2024,2000,Male_2000,524.7,96,01:27.4,05:49.5
Will Rogers,Male,1/03/2024,2000,Male_2000,461,35,01:31.2,06:04.9
Isabella Scammell,Female,15/04/2024,2mmol,Female_2mmol,202,29,02:00.1,02:00.1
Isabella Scammell,Female,15/04/2024,4mmol,Female_4mmol,247,47,01:52.3,01:52.3
Tiffany Botha,Female,20/05/2024,2mmol,Female_2mmol,192,18,02:02.2,02:02.2
Olivia Nattey,Female,20/05/2024,2mmol,Female_2mmol,202,29,02:00.1,02:00.1
Tiffany Botha,Female,20/05/2024,4mmol,Female_4mmol,227,23,01:55.5,01:55.5
Olivia Nattey,Female,20/05/2024,4mmol,Female_4mmol,231,27,01:54.9,01:54.9
Tiffany Botha,Female,24/06/2024,2mmol,Female_2mmol,193,19,02:01.9,02:01.9
Hamish Danks,Male,24/06/2024,2mmol,Male_2mmol,253,3,01:51.4,01:51.4
Sophia Wightman,Female,24/06/2024,2mmol,Female_2mmol,213,47,01:58.0,01:58.0
Stefanie Preller,Female,24/06/2024,2mmol,Female_2mmol,168,#N/A,02:07.7,02:07.7
Tiffany Botha,Female,24/06/2024,4mmol,Female_4mmol,222,19,01:56.4,01:56.4
Hamish Danks,Male,24/06/2024,4mmol,Male_4mmol,295,5,01:45.8,01:45.8
Sophia Wightman,Female,24/06/2024,4mmol,Female_4mmol,241,39,01:53.2,01:53.2
Stefanie Preller,Female,24/06/2024,4mmol,Female_4mmol,197,#N/A,02:01.1,02:01.1
Hamish Danks,Male,19/07/2024,2mmol,Male_2mmol,251,1,01:51.7,01:51.7
Hamish Danks,Male,19/07/2024,4mmol,Male_4mmol,310,17,01:44.1,01:44.1
Liesel Page,Female,23/07/2024,2000,Female_2000,257.7,9,01:50.7,07:23.0
Sarah Fahd,Female,23/07/2024,2000,Female_2000,297.2,39,01:45.6,07:02.4
Amrbose Hennesy,Male,24/07/2024,2000,Male_2000,404.7,11,01:35.3,06:21.1
Matias Moloney,Male,24/07/2024,2000,Male_2000,392.8,7,01:36.2,06:24.9
Matias Moloney,Male,24/07/2024,2000,Male_2000,411.8,13,01:34.7,06:18.9
Samuel Basha,Male,24/07/2024,2000,Male_2000,388.6,5,01:36.6,06:26.3
Alec Hoskin,Male,25/07/2024,2000,Male_2000,448.4,25,01:32.1,06:08.3
Grace Sypher,Female,25/07/2024,2000,Female_2000,277.8,19,01:48.0,07:12.0
Isabella Scammell,Female,25/07/2024,2000,Female_2000,347.9,99,01:40.2,06:40.8
Miles Harrold,Male,25/07/2024,2000,Male_2000,450.2,26,01:32.0,06:07.8
Will Rogers,Male,25/07/2024,2000,Male_2000,481.3,55,01:29.9,05:59.7
Tiffany Botha,Female,29/07/2024,2mmol,Female_2mmol,193,19,02:01.9,02:01.9
Stefanie Preller,Female,29/07/2024,2mmol,Female_2mmol,186,12,02:03.5,02:03.5
Olivia Nattey,Female,29/07/2024,2mmol,Female_2mmol,210,41,01:58.7,01:58.7
Tiffany Botha,Female,29/07/2024,4mmol,Female_4mmol,226,22,01:55.7,01:55.7
